ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,MORENA,UPM,PLA,NAA,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
1,AGUASCALIENTES,1,AGUASCALIENTES,452,1125,111404,14146,17514,1656,3089,2212,52944,1459,2892,3034,,,,,210350,133,6481,216964,651231,
1,AGUASCALIENTES,2,ASIENTOS,17,56,6848,3687,178,214,211,321,9585,,362,396,,,,,21802,8,519,22329,34499,
1,AGUASCALIENTES,3,CALVILLO,31,80,8752,770,342,381,601,,3453,,4821,1131,,,,,20251,18,1023,21292,46919,
1,AGUASCALIENTES,4,COSIO,5,19,650,2289,,662,2537,1917,160,,22,0,,,,,8237,2,101,8340,11698,
1,AGUASCALIENTES,5,JESUS MARIA,22,124,12171,1477,458,328,627,191,3165,416,2124,510,6020,365,357,,28209,18,912,29139,81736,
1,AGUASCALIENTES,6,PABELLON DE ARTEAGA,17,49,1640,457,9298,392,418,317,3723,45,82,749,,,,,17121,3,501,17625,31321,
1,AGUASCALIENTES,7,RINCON DE ROMOS,21,62,5487,984,145,803,392,215,963,,2094,4922,,,,,16005,9,534,16548,37810,
1,AGUASCALIENTES,8,SAN JOSE DE GRACIA,7,12,2573,240,,637,45,,1289,33,21,76,,,,94,5008,3,69,5080,6952,
1,AGUASCALIENTES,9,TEPEZALA,10,27,2609,2376,1607,94,3281,,761,,,55,,,,,10783,2,227,11012,15551,
1,AGUASCALIENTES,10,SAN FRANCISCO DE LOS ROMO,10,51,2592,4555,145,1606,211,156,3577,65,102,412,,,,,13421,13,511,13945,33855,
1,AGUASCALIENTES,11,EL LLANO,8,25,511,1906,1668,2684,55,293,618,261,103,2223,,,,,10322,0,284,10606,15183,
