ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PLA,PANALA,PES,RSP,FXM,PAN_PRD,PT_MORENA_PANALA,PT_MORENA,PT_PANALA,MORENA_PANALA,CAND_IND1,CAND_IND2,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
1,AGUASCALIENTES,1,AGUASCALIENTES,474,1179,171536,20162,4513,4859,3488,13612,73849,6254,2408,3149,1322,7805,903,345,380,17,78,,,314680,737,7940,323357,682631,
1,AGUASCALIENTES,2,ASIENTOS,17,58,7331,641,465,252,514,335,12586,79,336,183,357,273,43,,,,,,,23395,1,476,23872,36221,
1,AGUASCALIENTES,3,CALVILLO,31,81,10229,1444,293,626,297,620,4256,3284,648,179,130,2014,46,,,,,,,24066,31,821,24918,48366,
1,AGUASCALIENTES,4,COSIO,5,19,2219,2293,96,3187,747,337,151,10,131,18,4,5,14,,,,,,,9212,0,223,9435,12212,
1,AGUASCALIENTES,5,JESUS MARIA,22,133,22135,3756,393,846,794,468,11477,373,444,1413,282,1102,81,48,77,7,28,,,43724,25,813,44562,88247,
1,AGUASCALIENTES,6,PABELLON DE ARTEAGA,17,53,824,7023,4857,454,1774,115,1907,44,137,282,318,100,100,37,43,5,5,,,18025,251,582,18858,32690,
1,AGUASCALIENTES,7,RINCON DE ROMOS,21,65,3798,1522,218,1716,698,3735,2532,256,2351,167,148,441,24,88,23,42,26,2686,,20471,26,740,21237,39531,
1,AGUASCALIENTES,8,SAN JOSE DE GRACIA,7,15,1136,649,106,44,40,31,768,,13,,109,1412,15,,,,,,1014,5337,0,107,5444,7309,
1,AGUASCALIENTES,9,TEPEZALA,10,27,3923,120,326,4550,130,147,1335,47,203,17,63,34,134,,,,,,,11029,4,232,11265,16373,
1,AGUASCALIENTES,10,SAN FRANCISCO DE LOS ROMO,10,57,5842,7356,123,268,153,162,3050,324,781,159,99,89,37,14,7,5,33,,,18502,7,487,18996,37865,
1,AGUASCALIENTES,11,EL LLANO,8,25,2030,175,516,48,3178,58,462,15,133,49,135,3714,132,56,59,28,0,,,10788,6,318,11112,15962,
