ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,ELIGE,PES,RSP,FXM,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,347,693,59883,22202,4384,5514,2865,4811,73226,1245,3152,1614,17991,2085,366,112,40,,,,902,,,,,,,,200392,241,5532,206165,381925,
9,CIUDAD DE MEXICO,3,COYOACAN,403,963,111118,39078,21148,5581,4472,10042,115255,2438,2480,1245,3544,5227,662,268,148,,,,1396,,,,,,,,324102,750,7292,332144,567368,
9,CIUDAD DE MEXICO,4,CUAJIMALPA DE MORELOS,79,283,23816,45304,1934,2530,1694,3228,26914,571,1773,488,1011,1490,294,29,101,,,,411,,,,,,,,111588,88,2538,114214,178827,
9,CIUDAD DE MEXICO,5,GUSTAVO A. MADERO,858,1850,93079,65621,48065,14536,10756,14445,219927,4672,9200,6106,7185,4622,688,249,259,,,,2602,9098,,,,,,,511110,644,14626,526380,1053255,
9,CIUDAD DE MEXICO,6,IZTACALCO,299,629,43338,22371,14308,15460,2786,4900,65645,1091,2879,1734,2990,,,,528,,,,929,,,2776,,,,,181735,301,5556,187592,359480,
9,CIUDAD DE MEXICO,7,IZTAPALAPA,1003,2499,88581,70998,36414,20580,21038,17790,366609,5040,10587,3761,7760,4481,841,305,348,,,,5931,,,,,,,,661064,845,19362,681271,1499002,
9,CIUDAD DE MEXICO,8,LA MAGDALENA CONTRERAS,149,350,20334,32265,2189,1823,2136,3077,40115,832,2281,854,2187,1488,295,32,64,268,42,90,415,,,,,,,,110787,148,2937,113872,204326,
9,CIUDAD DE MEXICO,9,MILPA ALTA,44,168,1572,18478,674,2545,1316,1154,21660,562,2463,555,3095,436,94,13,44,,,,459,,,,,,,,55120,65,2076,57261,111559,
9,CIUDAD DE MEXICO,10,ALVARO OBREGON,442,1040,106624,44116,25446,5657,4217,8443,100617,2027,4070,1494,6462,5247,739,361,206,709,58,242,863,,,,,,3013,,320611,373,8227,329211,609673,
9,CIUDAD DE MEXICO,11,TLAHUAC,145,488,10098,28186,14249,8583,2613,2662,55355,1074,3484,1354,2054,,,,1359,,,,745,,,,,,,,131816,158,4959,136933,306261,
9,CIUDAD DE MEXICO,12,TLALPAN,352,935,75347,34700,9037,4830,4702,28513,109179,2028,2547,1225,11185,3189,486,129,76,,,,1562,,,,,,,,288735,368,7487,296590,559586,
9,CIUDAD DE MEXICO,13,XOCHIMILCO,171,558,36990,19618,4229,6951,3107,7043,61617,1120,2306,2051,2334,2130,408,102,58,,,,714,,5120,,,,,,155898,277,4987,161162,351626,
9,CIUDAD DE MEXICO,14,BENITO JUAREZ,254,629,162188,13556,2121,1672,1587,3872,45787,625,968,631,1021,,,,,,,,637,,,,,,,,234665,218,3811,238694,374482,
9,CIUDAD DE MEXICO,15,CUAUHTEMOC,389,838,61993,47290,7754,5229,4441,8203,90141,1888,3959,2064,2923,3258,499,116,112,,,,1369,,,,,,,2686,243925,721,7184,251830,487027,
9,CIUDAD DE MEXICO,16,MIGUEL HIDALGO,255,554,88164,14442,2545,2781,4284,3496,68618,632,924,665,940,1737,394,91,34,904,92,246,826,,,,657,878,,,193350,174,3291,196815,323767,
9,CIUDAD DE MEXICO,17,VENUSTIANO CARRANZA,336,698,34791,28564,20220,3497,4146,6026,104907,1117,2627,1777,2946,2772,295,157,128,,,,1327,,,,,,,,215297,264,5818,221379,404354,
