ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NA_GTO,PES,RSP,FXM,PRI_PRD,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
11,GUANAJUATO,1,ABASOLO,50,118,7346,8075,129,1498,648,792,4418,311,220,6816,2030,,,,,,,,,,,,,,32283,2,688,32973,69147,
11,GUANAJUATO,2,ACAMBARO,90,177,11397,1432,1725,708,857,1356,10624,660,426,652,363,195,,,4306,,,,,,,,1146,,35847,78,1283,37208,96534,
11,GUANAJUATO,3,SAN MIGUEL DE ALLENDE,103,234,16971,19469,1645,1453,605,1132,14476,811,1011,562,1234,,,,,,,,,,,,,,59369,56,1693,61118,135343,
11,GUANAJUATO,4,APASEO EL ALTO,44,94,7223,897,172,4532,,4120,3267,145,434,317,,112,,,,,,,,,,,,,21219,9,698,21926,51218,
11,GUANAJUATO,5,APASEO EL GRANDE,43,119,9001,953,668,3301,781,819,4479,603,3667,1024,1452,,,,,,,,,,,,,,26748,258,768,27774,70805,
11,GUANAJUATO,6,ATARJEA,5,11,1899,40,33,149,,,1356,,,,,,,,,,,,,,,,,,3477,1,113,3591,4483,
11,GUANAJUATO,7,CELAYA,247,642,66397,13559,2022,6114,9417,5872,46551,2110,1844,1378,1649,,,,,,,,,,,,,,156913,145,3695,160753,390227,
11,GUANAJUATO,8,MANUEL DOBLADO,42,65,8056,7065,463,318,,685,646,216,55,,,,,,,,,,,,,,,,17504,2,286,17792,32810,
11,GUANAJUATO,9,COMONFORT,43,106,6481,1049,346,1025,3422,830,5400,193,,534,1063,34,1416,,,,,,,,,,,2362,24155,11,722,24888,62381,
11,GUANAJUATO,10,CORONEO,10,18,2709,74,1251,349,,75,531,423,,,,,,,,,,,,,,,,,5412,0,175,5587,9587,
11,GUANAJUATO,11,CORTAZAR,55,132,12177,1111,4908,2701,770,666,5129,686,3318,2445,590,50,,802,,,,,,,,,,,35353,15,849,36217,76654,
11,GUANAJUATO,12,CUERAMARO,21,41,3945,4456,78,75,169,1119,1273,531,,,,60,,,,,,,,,,,,,11706,1,252,11959,23930,
11,GUANAJUATO,13,DOCTOR MORA,12,32,2956,59,615,952,,,3404,45,1483,255,833,,,,,,,,,,,,,,10602,1,266,10869,19214,
11,GUANAJUATO,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,71,195,17862,8730,305,1827,474,881,2488,630,1141,481,3145,160,,,,,,14282,,,,,,,52406,21,1899,54326,118328,
11,GUANAJUATO,15,GUANAJUATO,102,248,29294,7984,1081,1927,550,4434,8606,1290,386,741,3030,383,,,,,,,,,,,,,59706,48,1665,61419,145506,
11,GUANAJUATO,16,HUANIMARO,13,29,2372,70,34,2814,,284,2692,121,,1035,,1,,,,,,,,,,,,,9423,0,159,9582,17055,
11,GUANAJUATO,17,IRAPUATO,249,712,78942,13164,2634,2458,1243,5952,48183,1168,985,1513,0,,,,,,,,13513,,,,,,169755,118,3636,173509,439889,
11,GUANAJUATO,18,JARAL DEL PROGRESO,26,51,1895,373,222,147,230,177,1301,2603,260,4876,0,8,,,,4648,,,,,,,,,16740,12,528,17280,30077,
11,GUANAJUATO,19,JERECUARO,56,82,3648,8124,211,207,,1242,4910,335,556,,,58,,,,,,,,,,,,,19291,1,770,20062,42127,
11,GUANAJUATO,20,LEON,736,1941,323452,35250,4732,15668,3455,19351,115308,4769,3421,2067,3164,,,,,,,,,,,,,,530637,373,9575,540585,1184640,
11,GUANAJUATO,21,MOROLEON,35,78,4704,671,807,503,597,10347,3006,,,,88,57,,,,,,,,,,,,,20780,2,435,21217,45022,
11,GUANAJUATO,22,OCAMPO,18,37,1244,3783,60,1320,765,911,658,1548,,,,9,,,,,,,,,,,,,10298,0,239,10537,18771,
11,GUANAJUATO,23,PENJAMO,114,230,16443,4534,540,5897,509,759,12563,2032,0,0,172,,,,,,,,,,,,,,43449,11,1201,44661,129055,
11,GUANAJUATO,24,PUEBLO NUEVO,8,21,2510,103,35,47,35,4264,257,21,,,23,5,,,,,,,,,,,,,7300,10,147,7457,11172,
11,GUANAJUATO,25,PURISIMA DEL RINCON,25,90,11581,2808,96,743,157,5327,1672,120,105,,,,,,,,,,,,,,,,22609,3,445,23057,57612,
11,GUANAJUATO,26,ROMITA,50,91,7753,9017,147,409,335,378,6450,470,,,48,,,,,,,,,,,,,,25007,7,410,25424,47790,
11,GUANAJUATO,27,SALAMANCA,154,369,27790,5376,972,2210,3833,12512,35281,945,796,0,2591,35,,,,,1966,,,,,2220,,,96527,72,1975,98574,219577,
11,GUANAJUATO,28,SALVATIERRA,84,159,12886,3067,321,1156,295,5622,8475,288,265,651,268,59,,,,,,,,,,,,,33353,96,1049,34498,85551,
11,GUANAJUATO,29,SAN DIEGO DE LA UNION,28,53,4653,633,90,545,1302,183,552,1288,,5666,64,0,,,,,,,,,,,,,14976,5,445,15426,29387,
11,GUANAJUATO,30,SAN FELIPE,71,150,13999,1885,304,14814,434,212,2618,2765,589,,,,,,,,,,,,,,,,37620,18,1086,38724,85831,
11,GUANAJUATO,31,SAN FRANCISCO DEL RINCON,59,161,17456,15874,244,1862,276,269,4920,367,232,0,0,,,,,,,,,,,,,,41500,14,804,42318,96419,
11,GUANAJUATO,32,SAN JOSE ITURBIDE,38,104,5808,1478,820,1433,3555,5074,2054,3943,1143,,393,,,,,,,,,,,,,,25701,5,782,26488,63154,
11,GUANAJUATO,33,SAN LUIS DE LA PAZ,57,154,8156,18686,1063,997,549,352,3289,1568,368,1365,500,231,,,,,,,,,,,,,37124,25,1522,38671,94008,
11,GUANAJUATO,34,SANTA CATARINA,5,10,1310,1073,57,75,,,603,,36,,,30,,,,,,,,,,,,,3184,1,56,3241,4688,
11,GUANAJUATO,35,SANTA CRUZ DE JUVENTINO ROSAS,36,103,9781,926,7047,642,800,1035,2043,7890,121,0,0,65,,,,,,,,,,,,,30350,13,567,30930,63447,
11,GUANAJUATO,36,SANTIAGO MARAVATIO,10,13,74,2160,4,,,13,80,,,,,3,,,,,,,,2168,,,,,4502,0,240,4742,6799,
11,GUANAJUATO,37,SILAO DE LA VICTORIA,78,232,17856,5333,507,2235,,967,18587,2094,574,532,653,107,,,,,,,,,1998,,,,51443,33,1135,52611,142206,
11,GUANAJUATO,38,TARANDACUAO,12,20,1972,1962,75,369,,139,629,,,,,22,,,,,,,,,,,,,5168,7,160,5335,10533,
11,GUANAJUATO,39,TARIMORO,34,62,5499,7206,107,91,1045,242,695,176,,,49,23,,,,,,,,,,,,,15133,3,429,15565,31869,
11,GUANAJUATO,40,TIERRA BLANCA,10,23,1778,1888,3264,,259,,1768,,696,,,,,,,,,,,,,,,,9653,4,272,9929,14196,
11,GUANAJUATO,41,URIANGATO,26,84,3131,8557,115,4172,141,756,5304,127,,,,35,,,,,,,,,,,,,22338,12,554,22904,51096,
11,GUANAJUATO,42,VALLE DE SANTIAGO,75,209,13977,4549,2186,1482,518,1133,12413,2114,584,1684,431,506,,,,,,,,,,,,,41577,39,1349,42965,117641,
11,GUANAJUATO,43,VICTORIA,15,29,3634,2374,,47,1265,24,,1630,54,422,,,,,,,,,,,,,,,9450,1,374,9825,15968,
11,GUANAJUATO,44,VILLAGRAN,28,79,3093,260,1993,1143,255,396,6070,8299,0,3251,392,35,,,,,,,,,,,,,25187,4,435,25626,48475,
11,GUANAJUATO,45,XICHU,14,23,2599,109,2780,,,23,389,,,65,,,,,,,,,,,,,,,5965,1,117,6083,8711,
11,GUANAJUATO,46,YURIRIA,57,114,6615,7527,,8421,281,380,3584,206,,212,,,,,,,,,,,,,,,27226,12,801,28039,64768,
