ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,PAS,MORENA,PES,RSP,FXM,CC_PAN_PRI_PRD,CC_PAN_PRI,CC_PAN_PRD,CC_PRI_PRD,CC_PAS_MORENA,CAND_IND3,CAND_IND4,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
25,SINALOA,1,AHOME,482,691,10894,31310,1291,45632,1106,6296,5061,45632,813,1706,5146,1598,407,24,38,975,,,157929,70,4407,162406,339435,
25,SINALOA,2,ANGOSTURA,103,112,637,6721,,,134,526,6517,9064,,381,185,,,,,,,,24165,0,684,24849,36587,
25,SINALOA,3,BADIRAGUATO,58,66,255,5325,204,182,,,1645,4932,,158,104,74,53,3,14,382,,,13331,1,402,13734,22950,
25,SINALOA,4,CONCORDIA,43,49,539,464,1459,,41,67,2242,4234,,180,78,,,,,465,,,9769,1,413,10183,19911,
25,SINALOA,5,COSALA,32,37,0,2687,0,,33,232,4076,692,,154,21,,,,,,,,7895,1,212,8108,12559,
25,SINALOA,6,CULIACAN,1001,1497,28906,95914,3853,4492,4711,16891,18471,128553,5259,4004,5057,3265,830,74,119,3147,,,323546,219,7792,331557,726761,
25,SINALOA,7,CHOIX,67,75,3482,420,3348,51,71,81,460,5780,46,200,115,,,,,91,,,14145,1,421,14567,24023,
25,SINALOA,8,ELOTA,59,77,196,4343,,12060,123,134,557,1704,225,110,34,,,,,55,,,19541,1,830,20372,32892,
25,SINALOA,9,ESCUINAPA,63,89,4606,3396,126,5108,54,4316,2813,2424,92,440,84,,,,,246,,,23705,3,707,24415,42607,
25,SINALOA,10,EL FUERTE,169,187,577,8275,205,,11538,2669,1188,12537,399,399,513,150,58,4,9,,218,1302,40041,11,1277,41329,74335,
25,SINALOA,11,GUASAVE,436,511,10884,27288,1209,,,1120,4701,48479,1347,1255,526,1383,453,55,45,1065,,,99810,32,1889,101731,217196,
25,SINALOA,12,MAZATLAN,493,749,11239,45126,1107,2103,1581,9370,8645,73016,2990,1093,5254,1304,530,34,91,1909,,,165392,286,3828,169506,375358,
25,SINALOA,13,MOCORITO,112,117,322,6243,3791,,109,1841,2148,4653,625,104,334,,,,,273,,,20443,0,790,21233,35982,
25,SINALOA,14,ROSARIO,82,96,6274,1529,172,489,78,464,1452,5437,464,,1868,,,,,223,,,18450,1,2500,20951,38428,
25,SINALOA,15,SALVADOR ALVARADO,144,169,1084,6030,529,348,557,590,3712,20595,,756,590,202,45,7,14,534,,,35593,7,654,36254,63943,
25,SINALOA,16,SAN IGNACIO,37,44,122,1783,27,,2007,60,241,419,4873,,73,,,,,7,,,9612,0,500,10112,15961,
25,SINALOA,17,SINALOA,177,189,806,11443,,948,164,988,3606,6432,539,348,124,,,,,,,,25398,2,1187,26587,64798,
25,SINALOA,18,NAVOLATO,172,231,4091,15239,,7887,832,5019,1535,15473,713,1173,350,,,,,122,,,52434,5,1460,53899,108381,
